,NCT_ID,Phase,Status,Disease Name,Drug Name,Mechanism of Action,Action Type,Target Approved Name,Target Approved Symbol,Drug Type,Breif Summary,Impact On Cacner Progression,Cancer Type
458,NCT05190770,2,Recruiting,breast cancer,TRIAMCINOLONE ACETONIDE,Glucocorticoid receptor agonist,AGONIST,nuclear receptor subfamily 3 group C member 1,NR3C1,Small molecule,"The purpose of this study is find out whether Oleogel-S10 is an effective treatment for radiation dermatitis when it is used in combination with a standard wound treatment cream called triamcinolone. Oleogel-S10 has shortened the healing time for other types of skin wounds such as burns. Triamcinolone is a cream that is frequently used to treat moderate to severe skin conditions such as skin irritation caused by poison ivy, eczema, sunburn, and rashes.",no,NA
460,NCT05306340,3,Recruiting,breast cancer,DEXAMETHASONE,Glucocorticoid receptor agonist,AGONIST,nuclear receptor subfamily 3 group C member 1,NR3C1,Small molecule,"This Phase III, randomized, open-label, multicenter study will evaluate the efficacy and safety of giredestrant plus everolimus compared with the physician's choice of endocrine therapy plus everolimus in participants with estrogen receptor (ER)-positive, human epidermal growth factor receptor 2 (HER2)-negative locally advanced or metastatic breast cancer who have had previous treatment with cyclin-dependent kinase 4/6 inhibitors (CDK4/6is) and endocrine therapy, either in the locally advanced/metastatic or the adjuvant setting.",yes,ER+/Her2-
414,NCT04551495,2,Recruiting,invasive lobular carcinoma,ENTRECTINIB,Neurotrophic tyrosine kinase receptor inhibitor,INHIBITOR,neurotrophic receptor tyrosine kinase 2,NTRK2,Small molecule,"Despite different clinical characteristics including the response to treatment and the patterns of metastatic relapse, invasive lobular breast carcinoma (ILBC) is treated like invasive ductal breast carcinoma (IDBC) carcinoma both in the clinics and in clinical trials. A large majority of ILBC are ER+/HER2- and almost 90% have loss of E-cadherin (CDH1) expression. A non-clinical study of CDH1 synthetic lethality interactions has identified ROS1 as a potential target. In vivo, ROS1 inhibitors produced profound antitumor effects in multiple models of E-cadherin-defective breast cancer, providing the preclinical rationale for assessing ROS1 inhibitors in this setting. Endocrine therapy being the mainstay of therapy for ER+/HER2- ILBC and the pre-operative setting offering a platform for rapid drug evaluation and biomarker research, the ROSALINE phase 2 study will evaluate the efficacy of Entrectinib (a potent inhibitor of ROS1 among other targets) in combination with letrozole (+ goserelin in premenopausal women) in the early setting of ILBC (stages 1 to 3). The neoadjuvant therapy will last 4 months and post-operative therapy will follow local practice. Biomarker research will include RNA sequencing of initial biopsies and surgical specimens, as well as liquid biopsies.",yes,ER+/Her2-
249,NCT02441946,2,Completed,breast carcinoma,LOPERAMIDE,Mu opioid receptor agonist,AGONIST,opioid receptor mu 1,OPRM1,Small molecule,"The purpose of this study is to evaluate the biological effects of abemaciclib in combination with anastrozole and compare those to the effects of abemaciclib alone and anastrozole alone in the tumors of postmenopausal women with hormone receptor positive (HR+), human epidermal growth factor receptor 2 (HER2) negative breast cancer.",yes,HR+/Her2-
283,NCT02839668,2,Completed,breast cancer,TRAMADOL,Mu opioid receptor agonist,AGONIST,opioid receptor mu 1,OPRM1,Small molecule,"Because neoplastic disease is one of the leading causes of death worldwide and breast cancer is one of the most frequent neoplasia among women, the possibility of influencing the evolution of patients starting from the moment of surgical intervention using a perianesthesic intervention is a scientific topic of high interest. The study will compare two anesthetic techniques and their efficiency in lowering the factors that can favorize the dissemination of neoplasia and their role in the prevention of postoperative pain. The serum level of vascular endothelial growth factor A (VEGF-A) will be determined before and after the surgical intervention after using two different types of anesthesia (inhalational and intravenous), and the immunohistochemical expression of vascular endothelial growth factor receptors (VEGFR) will be determined on the excised tissue. For the two different types of anesthesia a continuous infusion of lidocaine 1% will be associated. The study will compare the short-term and long term-outcome of the patients assigned the two different types of anesthesia and their immediate postoperative evolution .",no,NA
305,NCT03084536,2,Completed,breast cancer,FENTANYL,Mu opioid receptor agonist,AGONIST,opioid receptor mu 1,OPRM1,Small molecule,"In this double blinded randomized placebo-controlled trial, 160 subjects scheduled for breast surgery involving the axilla will be administered a multimodal pain regimen including acetaminophen, dexamethasone, celecoxib, and gabapentin. 80 subjects will also receive a Pectoral Nerve blocks I and II (PECS I and II block) preoperatively.",no,NA
316,NCT03094052,2,Completed,breast adenocarcinoma,DIPHENOXYLATE HYDROCHLORIDE,Mu opioid receptor agonist,AGONIST,opioid receptor mu 1,OPRM1,Small molecule,"This phase II trial studies the incidence and severity of diarrhea in patients with stage II-IIIC HER2 Positive breast cancer treated with trastuzumab and neratinib. Trastuzumab is a form of targeted therapy because it attaches itself to specific molecules (receptors) on the surface of cancer cells, known as HER2 receptors. When trastuzumab attaches to HER2 receptors, the signals that tell the cells to grow are blocked and the cancer cell may be marked for destruction by the body's immune system. Neratinib may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth. Giving trastuzumab and neratinib may work better in treating patients with stage II-IIIC HER2 positive breast cancer.",no,NA
319,NCT03094052,2,Completed,breast adenocarcinoma,DIPHENOXYLATE,Mu opioid receptor agonist,AGONIST,opioid receptor mu 1,OPRM1,Small molecule,"This phase II trial studies the incidence and severity of diarrhea in patients with stage II-IIIC HER2 Positive breast cancer treated with trastuzumab and neratinib. Trastuzumab is a form of targeted therapy because it attaches itself to specific molecules (receptors) on the surface of cancer cells, known as HER2 receptors. When trastuzumab attaches to HER2 receptors, the signals that tell the cells to grow are blocked and the cancer cell may be marked for destruction by the body's immune system. Neratinib may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth. Giving trastuzumab and neratinib may work better in treating patients with stage II-IIIC HER2 positive breast cancer.",no,NA
396,NCT04248179,4,Completed,breast ductal carcinoma in situ,SUFENTANIL,Mu opioid receptor agonist,AGONIST,opioid receptor mu 1,OPRM1,Small molecule,"The investigators have developed a novel ultrasound-guided nerve block indicated primarily for breast cancer surgery that mimic a thoracic paravertebral block (TPVB) - hitherto the internationally accepted regional anesthesia golden standard for anesthesia of the hemithorax - but hypothetically without the risks of adverse events associated with the TPVB (i.e. pneumothorax, risk of bleeding in the thoracic paravertebral space, random and unmanageable epidural spread etc.). The investigators have already tested the anatomical- and block execution hypothesis in a randomized cadaveric study, and the investigators now have anatomical proof of concept for the functionality of the block technique. The investigators have also conducted a small clinical pilot study with very promising results. The investigators wish to conduct a randomized, placebo controlled and double-blind study, comparing the effect of the ultrasound-guided multiple-injection costotransverse block (MICB) vs. placebo. The aim with this study is to investigate the efficacy of the MICB vs. placebo in patients undergoing unilateral mastectomy and primary reconstructive surgery due to breast cancer or ductal carcinoma in situ. The hypothesis is, that the unilateral MICB will significantly reduce the opioid consumption during the first 24 postoperative hours and significantly reduce the Numerical Rating Scale pain score (0-10) and opioid related side effects.",no,NA
409,NCT04481113,1,"Active, not recruiting",breast adenocarcinoma,NIRAPARIB TOSYLATE,Poly [ADP-ribose] polymerase-1 inhibitor,INHIBITOR,poly(ADP-ribose) polymerase 1,PARP1,Small molecule,"This phase I trial tests the side effects and best dose of abemaciclib and niraparib in treating patients with breast cancer that is positive for estrogen or progesterone receptors (hormone receptor positive \[HR+\]) and HER2 negative. Abemaciclib may stop the growth of tumor cells by blocking certain proteins called cyclin-dependent kinases, which are needed for cell growth. PARPs are proteins that help repair DNA mutations. PARP inhibitors, such as niraparib, can keep PARP from working so tumor cells can't repair themselves and grow. Giving abemaciclib and niraparib together before surgery may make the tumor smaller.",yes,HR+/Her2-
436,NCT04837209,2,Recruiting,breast cancer,NIRAPARIB,Poly [ADP-ribose] polymerase-1 inhibitor,INHIBITOR,poly(ADP-ribose) polymerase 1,PARP1,Small molecule,"This research study is looking to see whether the combination of Dostarlimab and Niraparib plus Radiation Therapy (RT) is safe and effective in participants with metastatic triple negative breast cancer.

The names of the study treatment involved in this study are:

* Dostarlimab
* Niraparib
* Radiation Therapy (RT), which is given per standard of care.",yes,TNBC
104,NCT00664781,2,Completed,Hereditary breast and ovarian cancer syndrome,RUCAPARIB,"PARP 1, 2 and 3 inhibitor",INHIBITOR,poly(ADP-ribose) polymerase 2,PARP2,Small molecule,"RATIONALE: rucaparib may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth.

PURPOSE: This phase II trial is studying the side effects and best dose of rucaparib and to see how well it works in treating patients with locally advanced or metastatic breast cancer or advanced ovarian cancer.",yes,NA
